epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.128,1.71913,3.50039,1.31646,0,0,0,0,0,138.171,0,0.0002875,0.0002875,0.0002875
2,253.328,1.48715,2.32604,1.203,0,0,0,0,0,124.502,0,0.000575868,0.000575868,0.000575868
3,449.971,1.46397,2.09206,1.20118,0,0,0,0,0,138.673,0,0.000852355,0.000852355,0.000852355
4,703.871,1.44587,1.95941,1.20996,0,0,0,0,0,165.436,0,0.00111696,0.00111696,0.00111696
5,1065.77,1.40523,1.87703,1.19414,0,0,0,0,0,180.243,0,0.001151,0.001151,0.001151
6,1427.23,1.3956,1.73305,1.20015,0,0,0,0,0,182.576,0,0.00112625,0.00112625,0.00112625
7,3512.44,1.40212,1.69247,1.17048,0,0,0,0,0,187.05,0,0.0011015,0.0011015,0.0011015
8,3626.81,1.36226,1.66673,1.16236,0,0,0,0,0,234.205,0,0.00107675,0.00107675,0.00107675
9,3737.05,1.39793,1.57157,1.17065,0,0,0,0,0,214.382,0,0.001052,0.001052,0.001052
10,3853.06,1.29947,1.41753,1.11597,0,0,0,0,0,217.456,0,0.00102725,0.00102725,0.00102725
11,3975.91,1.32143,1.4502,1.14208,0,0,0,0,0,124.248,0,0.0010025,0.0010025,0.0010025
12,4096.59,1.32034,1.40965,1.13212,0,0,0,0,0,180.222,0,0.00097775,0.00097775,0.00097775
13,4213.97,1.27977,1.36435,1.12444,0,0,0,0,0,142.771,0,0.000953,0.000953,0.000953
14,4341.21,1.28488,1.28212,1.11481,0,0,0,0,0,138.734,0,0.00092825,0.00092825,0.00092825
